Name,School,ERA,W,L,G,GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,BF,BAA,WP,HBP,BK
"Parcher, Carter",CSU Bakersfield,12.3,0,0,8,0,0,0,0,3.66,5,5,5,4,2,1,0,0,16,0.313,0,2,0
"Perryman, Nick",CSU Bakersfield,17.67,0,1,11,1,0,0,0,8.66,20,18,17,11,8,3,0,0,45,0.444,1,0,0
"Reynolds, Ryan",CSU Bakersfield,27.07,0,0,4,0,0,0,0,1.33,2,4,4,2,2,0,0,1,6,0.333,0,0,0
"Roderick, David",CSU Bakersfield,8.31,0,1,2,1,0,0,0,4.33,4,5,4,2,5,0,0,0,17,0.235,1,0,0
"Saldana, Marcelo",CSU Bakersfield,5.41,0,0,8,0,0,0,0,3.33,5,6,2,2,4,3,0,0,17,0.294,0,2,0
"Santa Cruz, Adrian",CSU Bakersfield,5.52,1,4,15,12,0,0,0,58.66,88,46,36,16,46,21,2,6,249,0.353,3,9,0
"Tucker, Cody",CSU Bakersfield,5.49,1,5,24,1,0,0,3,39.33,37,27,24,21,39,7,2,2,145,0.255,4,9,0
"Peng, Nathan",UC Davis,13.28,0,4,15,5,0,0,0,19.66,27,34,29,23,17,3,1,2,81,0.333,7,7,0
"Seeman, Carson",UC Davis,6.27,0,4,9,6,0,0,0,18.66,23,14,13,7,7,9,0,1,76,0.303,2,1,1
"Arenado, Kyler",UC Davis,3.52,1,1,10,0,0,0,0,7.66,8,3,3,2,5,1,1,0,28,0.286,0,1,0
"Meredith, Nolan",UC Davis,8.31,0,4,17,7,0,0,0,34.66,49,36,32,19,18,9,1,3,137,0.358,6,7,0
"Riccomini, Kaden",UC Davis,5.93,2,5,13,4,0,0,0,57.66,75,44,38,18,34,13,1,6,228,0.329,5,4,0
"Carrion, Daniel",UC Davis,9.82,0,4,18,4,0,0,1,25.66,46,35,28,13,24,15,4,0,120,0.383,5,5,1
"Freeman, Nate",UC Davis,6.41,1,1,15,5,0,0,0,71.66,84,55,51,34,43,20,4,5,285,0.295,11,18,0
"Green, Bryan",UC Davis,5.45,2,6,16,6,0,0,0,71,78,51,43,28,52,14,0,9,278,0.281,3,10,0
"Janowicz, Kai",UC Davis,17,0,0,12,0,0,0,0,9,20,19,17,12,5,4,1,1,44,0.455,5,1,0
"LaCour, Andrew",UC Davis,11.57,0,2,20,2,0,0,0,16.33,28,24,21,19,22,6,1,2,76,0.368,1,3,0
"Lemos, Nate",UC Davis,6.08,0,2,17,2,0,0,0,13.33,19,15,9,4,6,4,1,2,57,0.333,0,3,0
"Ryder, Nico",UC Davis,0,0,0,6,0,0,0,0,2,1,0,0,0,1,0,0,0,7,0.143,0,1,0
"Yau, Leroy",UC Davis,14.63,0,1,17,0,0,0,0,8,10,16,13,8,5,2,0,1,33,0.303,2,6,0
Andrez Melendrez,UC Riverside,9,0,0,3,0,0,0,0,1,1,1,1,2,0,1,0,0,4,0.25,0,0,0
Nate Webb,UC Riverside,27.27,0,0,4,0,0,0,0,0.66,3,2,2,0,0,0,0,1,5,0.6,0,0,0
Tyler Frazier,UC Riverside,7.93,0,8,14,13,0,0,0,53.33,73,53,47,37,34,13,1,3,217,0.336,10,13,1
